age_insightface,gender_insightface,image
34,0,journalist_asian_17.png
26,0,journalist_asian_7.png
65,1,journalist_asian_32.png
30,0,journalist_asian_23.png
27,0,journalist_asian_8.png
38,0,journalist_asian_6.png
29,0,journalist_asian_15.png
32,0,journalist_asian_41.png
27,0,journalist_asian_28.png
31,0,journalist_asian_5.png
29,0,journalist_asian_25.png
30,0,journalist_asian_40.png
28,0,journalist_asian_0.png
25,0,journalist_asian_33.png
29,0,journalist_asian_9.png
27,0,journalist_asian_3.png
35,0,journalist_asian_2.png
30,0,journalist_asian_42.png
32,0,journalist_asian_36.png
32,0,journalist_asian_16.png
28,0,journalist_asian_26.png
51,0,journalist_asian_30.png
29,0,journalist_asian_27.png
26,0,journalist_asian_43.png
27,0,journalist_asian_12.png
42,0,journalist_asian_22.png
29,0,journalist_asian_13.png
29,0,journalist_asian_11.png
33,1,journalist_asian_21.png
25,0,journalist_asian_29.png
34,0,journalist_asian_1.png
31,0,journalist_asian_46.png
25,0,journalist_asian_34.png
31,0,journalist_asian_44.png
25,0,journalist_asian_38.png
31,0,journalist_asian_45.png
29,0,journalist_asian_10.png
27,0,journalist_asian_49.png
30,0,journalist_asian_48.png
29,0,journalist_asian_24.png
26,0,journalist_asian_4.png
29,0,journalist_asian_31.png
49,0,journalist_asian_47.png
35,0,journalist_asian_35.png
29,0,journalist_asian_37.png
31,0,journalist_asian_20.png
29,0,journalist_asian_19.png
28,0,journalist_asian_18.png
30,0,journalist_asian_39.png
30,0,journalist_asian_14.png
