age_insightface,gender_insightface,image
27,0,cashier_young_18.png
26,0,cashier_young_33.png
28,0,cashier_young_3.png
30,0,cashier_young_11.png
33,0,cashier_young_7.png
30,0,cashier_young_6.png
26,0,cashier_young_43.png
26,0,cashier_young_8.png
27,0,cashier_young_44.png
29,0,cashier_young_15.png
28,0,cashier_young_2.png
27,0,cashier_young_20.png
30,0,cashier_young_47.png
26,0,cashier_young_4.png
26,0,cashier_young_38.png
28,0,cashier_young_19.png
36,0,cashier_young_22.png
28,0,cashier_young_35.png
29,0,cashier_young_5.png
27,0,cashier_young_36.png
25,0,cashier_young_21.png
26,0,cashier_young_25.png
25,0,cashier_young_45.png
26,0,cashier_young_31.png
26,0,cashier_young_42.png
30,0,cashier_young_26.png
27,0,cashier_young_46.png
30,0,cashier_young_27.png
24,0,cashier_young_49.png
30,0,cashier_young_34.png
32,0,cashier_young_37.png
26,0,cashier_young_32.png
30,0,cashier_young_9.png
31,0,cashier_young_48.png
27,0,cashier_young_16.png
25,0,cashier_young_39.png
26,0,cashier_young_0.png
28,0,cashier_young_28.png
26,0,cashier_young_12.png
29,0,cashier_young_30.png
28,0,cashier_young_29.png
27,0,cashier_young_1.png
24,0,cashier_young_17.png
26,0,cashier_young_23.png
25,0,cashier_young_13.png
25,0,cashier_young_40.png
28,0,cashier_young_10.png
26,0,cashier_young_14.png
27,0,cashier_young_24.png
30,0,cashier_young_41.png
