age_insightface,gender_insightface,image
68,1,chef_middle aged_24.png
75,1,chef_middle aged_40.png
69,1,chef_middle aged_38.png
70,1,chef_middle aged_33.png
70,1,chef_middle aged_48.png
73,1,chef_middle aged_29.png
65,1,chef_middle aged_18.png
72,1,chef_middle aged_20.png
64,1,chef_middle aged_41.png
64,1,chef_middle aged_7.png
73,1,chef_middle aged_3.png
71,1,chef_middle aged_1.png
66,1,chef_middle aged_12.png
73,1,chef_middle aged_15.png
66,1,chef_middle aged_26.png
75,1,chef_middle aged_13.png
68,1,chef_middle aged_19.png
62,1,chef_middle aged_16.png
60,1,chef_middle aged_45.png
61,1,chef_middle aged_31.png
63,1,chef_middle aged_36.png
61,1,chef_middle aged_46.png
68,1,chef_middle aged_39.png
67,1,chef_middle aged_35.png
63,1,chef_middle aged_8.png
66,1,chef_middle aged_43.png
72,1,chef_middle aged_11.png
78,1,chef_middle aged_44.png
65,1,chef_middle aged_22.png
65,1,chef_middle aged_34.png
70,1,chef_middle aged_4.png
68,1,chef_middle aged_9.png
75,1,chef_middle aged_23.png
69,1,chef_middle aged_17.png
66,1,chef_middle aged_6.png
63,1,chef_middle aged_2.png
67,1,chef_middle aged_27.png
62,1,chef_middle aged_42.png
61,1,chef_middle aged_10.png
65,1,chef_middle aged_30.png
69,1,chef_middle aged_5.png
77,1,chef_middle aged_47.png
56,1,chef_middle aged_49.png
64,1,chef_middle aged_25.png
61,1,chef_middle aged_28.png
61,1,chef_middle aged_14.png
75,1,chef_middle aged_0.png
62,1,chef_middle aged_32.png
63,1,chef_middle aged_37.png
59,1,chef_middle aged_21.png
