group,category,percentage
age,Middle,16.0
age,Old,12.0
age,Young,72.0
gender,Female,56.00000000000001
gender,Male,44.0
intersection,Middle_Female_Asian,0.0
intersection,Middle_Female_Black,8.0
intersection,Middle_Female_Indian,0.0
intersection,Middle_Female_White,0.0
intersection,Middle_Male_Asian,0.0
intersection,Middle_Male_Black,8.0
intersection,Middle_Male_Indian,0.0
intersection,Middle_Male_White,0.0
intersection,Old_Female_Asian,0.0
intersection,Old_Female_Black,0.0
intersection,Old_Female_Indian,0.0
intersection,Old_Female_White,0.0
intersection,Old_Male_Asian,0.0
intersection,Old_Male_Black,4.0
intersection,Old_Male_Indian,4.0
intersection,Old_Male_White,4.0
intersection,Young_Female_Asian,0.0
intersection,Young_Female_Black,48.0
intersection,Young_Female_Indian,0.0
intersection,Young_Female_White,0.0
intersection,Young_Male_Asian,0.0
intersection,Young_Male_Black,24.0
intersection,Young_Male_Indian,0.0
intersection,Young_Male_White,0.0
race,Asian,0.0
race,Black,92.0
race,Indian,4.0
race,White,4.0
