age_insightface,gender_insightface,image
25,0,nurse_young_12.png
24,0,nurse_young_44.png
24,0,nurse_young_28.png
28,0,nurse_young_45.png
28,0,nurse_young_42.png
30,0,nurse_young_19.png
25,0,nurse_young_21.png
26,0,nurse_young_49.png
29,0,nurse_young_9.png
26,0,nurse_young_3.png
28,0,nurse_young_23.png
24,0,nurse_young_11.png
25,0,nurse_young_26.png
25,0,nurse_young_25.png
26,0,nurse_young_30.png
26,0,nurse_young_0.png
26,0,nurse_young_38.png
26,0,nurse_young_31.png
25,0,nurse_young_17.png
31,0,nurse_young_48.png
25,0,nurse_young_15.png
26,0,nurse_young_18.png
23,0,nurse_young_14.png
28,0,nurse_young_16.png
32,0,nurse_young_41.png
26,0,nurse_young_43.png
29,0,nurse_young_40.png
24,0,nurse_young_5.png
28,0,nurse_young_1.png
26,0,nurse_young_27.png
27,0,nurse_young_8.png
25,0,nurse_young_34.png
26,0,nurse_young_20.png
27,0,nurse_young_33.png
27,0,nurse_young_47.png
26,0,nurse_young_2.png
26,0,nurse_young_46.png
27,0,nurse_young_35.png
26,0,nurse_young_24.png
29,0,nurse_young_6.png
24,0,nurse_young_32.png
25,0,nurse_young_10.png
29,0,nurse_young_36.png
28,0,nurse_young_7.png
23,0,nurse_young_4.png
27,0,nurse_young_22.png
26,0,nurse_young_39.png
25,0,nurse_young_37.png
25,0,nurse_young_29.png
24,0,nurse_young_13.png
